k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,3.41,2.64,1.29
2,4,17.66,13.53,1.31
3,8,81.09,50.47,1.61
4,16,91.30,374.81,0.24
5,32,220.95,481.39,0.46
6,64,5377.32,5609.61,0.96
7,128,6052.83,10633.79,0.57
