k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,4.16,3.94,1.06
2,4,15.33,17.60,0.87
3,8,93.44,36.56,2.56
4,16,145.14,72.95,1.99
5,32,1232.10,711.51,1.73
6,64,491.21,4029.39,0.12
7,128,2370.39,1172.97,2.02
