k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,8.26,8.97,0.92
2,4,26.64,10.30,2.59
3,8,50.10,19.83,2.53
4,16,147.01,28.10,5.23
5,32,528.56,94.76,5.58
6,64,977.72,155.65,6.28
7,128,4644.14,700.60,6.63
8,256,25154.88,2323.34,10.83
