k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,5.57,5.26,1.06
2,4,1.71,1.75,0.98
3,8,12.96,95.15,0.14
4,16,277.77,141.24,1.97
5,32,1227.66,807.74,1.52
6,64,5511.54,3921.57,1.41
7,128,25340.11,25462.02,1.00
