k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,1.93,1.76,1.09
2,4,11.93,4.65,2.56
3,8,82.05,44.58,1.84
4,16,261.94,23.50,11.15
5,32,1070.85,995.28,1.08
6,64,556.07,6026.07,0.09
7,128,11621.19,23905.25,0.49
