k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,9.49,9.40,1.01
2,4,27.07,12.70,2.13
3,8,85.48,27.56,3.10
4,16,158.36,33.91,4.67
5,32,398.38,66.86,5.96
6,64,1049.70,128.88,8.14
7,128,4521.73,476.88,9.48
8,256,27496.85,2823.30,9.74
con umbral=1
reconstCadenTurboMejorado
