k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,11.04,9.82,1.12
2,4,26.56,12.61,2.11
3,8,39.05,14.53,2.69
4,16,158.50,31.14,5.09
5,32,368.01,69.95,5.26
6,64,1047.41,101.56,10.31
7,128,5535.62,653.96,8.46
8,256,21966.35,1839.08,11.94

con umbral=1
reconstCadenMejorado
