k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,  2,        13.14,            6.77,          1.94
2,  4,        26.03,            11.58,         2.25
3,  8,        56.46,            19.58,         2.88
4,  16,       155.38,           27.16,         5.72
5,  32,       337.89,           65.22,         5.18
6,  64,       1132.54,          203.70,        5.56
7,  128,      4372.41,          595.27,        7.35
8,  256,      16771.80,         2307.07,       7.27
