k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,4.22,3.43,1.23
2,4,23.56,14.02,1.68
3,8,90.43,91.30,0.99
4,16,243.14,346.32,0.70
5,32,1333.97,59.08,22.58
6,64,365.22,4214.56,0.09
7,128,1509.52,4298.76,0.35
8,256,3895.81,94406.74,0.04
