k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,12.20,7.97,1.53
2,4,21.25,9.71,2.19
3,8,49.80,17.77,2.80
4,16,188.18,30.57,6.16
5,32,256.72,46.64,5.50
6,64,813.36,126.60,6.42
7,128,3661.24,552.44,6.63
8,256,19172.08,2258.06,8.49
