k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,1.47,0.86,1.71
2,4,1.86,1.88,0.99
3,8,3.82,3.92,0.97
4,16,1.72,7.76,0.22
5,32,12.67,7.33,1.73
6,64,14.38,53.29,0.27
7,128,21.40,161.84,0.13
8,256,109.15,395.02,0.28
9,512,3075.08,1020.84,3.01
10,1024,57.50,1359.80,0.04
