k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,6.65,6.25,1.06
2,4,20.28,12.63,1.61
3,8,42.56,14.53,2.93
4,16,96.91,24.11,4.02
5,32,377.29,69.13,5.46
6,64,1115.30,194.63,5.73
7,128,2671.95,369.25,7.24
8,256,19744.68,2103.89,9.38
