k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,3.12,3.08,1.01
2,4,1.99,1.88,1.06
3,8,52.96,52.05,1.02
4,16,240.35,246.38,0.98
5,32,911.41,958.67,0.95
6,64,4027.53,4611.80,0.87
7,128,14979.36,14992.28,1.00
