k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,12.22,8.46,1.44
2,4,24.30,12.33,1.97
3,8,46.47,16.82,2.76
4,16,193.27,38.87,4.97
5,32,375.11,61.48,6.10
6,64,1182.93,131.13,9.02
7,128,5712.18,785.47,7.27
8,256,26214.85,2511.79,10.44
9,512,204743.49,6288.55,32.56
con umbral=1
reconstCadenTurboMejorado
