k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,3.04,2.30,1.32
2,4,17.19,13.29,1.29
3,8,109.91,56.74,1.94
4,16,152.98,33.74,4.53
5,32,689.32,1347.46,0.51
6,64,5728.40,1252.25,4.57
7,128,6849.14,15197.89,0.45
