k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,13.00,6.87,1.89
2,4,21.48,13.48,1.59
3,8,40.49,17.53,2.31
4,16,140.09,30.95,4.53
5,32,454.85,84.18,5.40
6,64,880.18,145.38,6.05
7,128,3019.67,513.64,5.88
8,256,16061.44,1794.37,8.95
