k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,2,13.93,9.82,1.42
2,4,28.54,15.76,1.81
3,8,62.67,24.10,2.60
4,16,164.99,38.94,4.24
5,32,579.71,88.03,6.59
6,64,1130.86,141.09,8.02
7,128,3748.83,485.70,7.72
8,256,24628.16,2400.26,10.26
